PDF,1_1_product_name,1_3_producer_of_sds_company_name,1_3_email,2_2_hazard_statements,revision_date
131022-san-earth-msds-dq.pdf.pdf,SAN-EARTH M5C-DQ ,"Sankosha U.S.A., Inc",,Section 2 not found in PDF.,
13130-loctite-3430-part-a-gb.pdf.pdf,"Loctite 3430, Part A",Henkel Ltd,ua-productsafety.uk@uk.henkel.com,"H315,H317,H319,H411,P273,P280,P302+P352,P333+P313,P337+P313",02.06.2015
131330-131330_safety_684e15585cb9826c0ff1d2bb507664f5.pdf.pdf,KW Pintadesinfektio,Kemvit Oy,info@kemvit.fi,"H225,H319,P210,P233,P264,P280,P305+P351+P338,P370+P378,P403+P235,P501",23.10.2019
131743.pdf.pdf,bio.x Reiniger ,DENIOS AG ,info@denios.de,Section 2 had no codes.,
1323691008_04.pdf.pdf,Scale away,HG International b.v.,safety@hg.eu,Section 2 had no codes.,
132557189390160321-dulux-matt-safety-data-sheet.pdf.pdf,MATT,ICI Paints AkzoNobel,dulux.advice@akzonobel.com,"P101,P102,P262,P312,P501",
133214%20%20Fiche%20donn%C3%A9e%20s%C3%A9curit%C3%A9%20batterie%20alpha%20260%20Version%202.0-%20ENG.pdf.pdf,Battery alpha 260,"DongGuan PELLENC Electrical&Mechanical Co.,Ltd",s.vigouroux@pellenc-china.com,Section 2 had no codes.,14.10.2019
13411.pdf.pdf,Panasil initial contact,Kettenbach GmbH & Co. KG,info@kettenbach.com,Section 2 had no codes.,23.05.2018
1341982_E_Micropolish&MicropolishII-AluminaPowder_KO.PDF.pdf,,,,,
1345_ssic_eng.pdf.pdf,URANIA DAILY,PETRONAS LUBRICANTS ITALY S.P.A.,info-regulation.eu@pli-petronas.com,"EUH208,EUH210",
135-W222_-_PROFLOOR_BASE_%2B_COLOURANTS_%28ALL_TINTS_%2B_GREY%29_-_SDS10398_-_UK.pdf.pdf,135/W222 - PROFLOOR BASE + COLOURANTS (ALL TINTS + GREY),COO-VAR,info@coo-var.co.uk,"H315,H317,H319,H411,P101,P102,P261,P264,P273,P280,P303+P361+P353,P305+P351+P338,P332+P313,P337+P313,P362+P364,P402+P404,P501",04.08.2020
1365_SDS-EU.pdf.pdf,SWEET LYCHEE FL NAT TYPE,"Capella Flavors, Inc",customerservice@capellaflavors.com,Section 2 had no codes.,26.07.2016
1370534206926_6402_MSDS_SkyHook_Batteries.pdf.pdf,"Lead Acid Battery Wet, Filled With Acid","East Penn Manufacturing Company, Inc",,Section 2 had no codes.,
13761sd_-_Monocell_FP_1_1_GB.pdf.pdf,Monocell FP.1,MONOTEZ S.A.,info@monotez.com,"P210,P243,P273,P403+P233,EUH018",13.06.2017
139196.pdf.pdf,CARSYSTEM FINISH ALL IN ONE,Vosschemie GmbH,info@vosschemie.de,Section 2 had no codes.,25.03.2009
13969.pdf.pdf,AUTOSOL Stainless Steel Polish (75 ml Tube),Autosol LLC,info@autosol.com,"H315,H319,H412,P102,P273,P280,P302+P352,P305+P351+P338,P332+P313,P337+P313",03.08.2016
13-PM-10790-01.pdf.pdf,"CellaVision Oil Pack, 2 x 150ml",CellaVision AB ,compliance@cargille.com,"H411,P273,P391,P501",08.10.2019
13-PM-10791%20Cellavision%20Immersion%20Oil%20SDS.pdf.pdf,CellaVision Oil Pack ,CellaVision AB ,info@cellavision.com,Section 2 had no codes.,
140308711407_Palintest_DPD_No.1_Tablets_(MYYY666).pdf.pdf,PALINTEST DPD NO1 TABLETS ,Brenntag UK & Ireland ,msds@brenntag.co.uk,Section 2 had no codes.,12.01.2012
14076_14083_14099_14093_Fackelmann_GasLighter_ENG.pdf.pdf,Gas lighter,Fackelmann GmbH + Co. KG,giftinfo@uniklinik-freiburg.de,"P210,P377,P381,P410+P403",01.04.2016
14093I_PC12_PC12C_SDS_US_V1_2.pdf.pdf,PC-12/PC-12C ,VISHAY MEASUREMENTS GROUP,mm.us@vishaypg.com,"H317,H330,H334,H351,P201,P280,P302+P352,P304+P340,P310,P333+P313",28.08.2015
140PolyPlast_Renovator_2_in_1_RV_20__GB_.pdf.pdf,PolyPlast Renovator 2 in 1,Renovio,info@renovio.com,Section 2 had no codes.,22.01.2009
141%20Valerian%20Root%20-%20SDS%20-%20Version%203%20.pdf.pdf,Valerian Root Essential Oil ,Amphora Aromatics Limited,,"H226,H314,H317,H318,H412,P210,P261,P264,P273,P280,P303+P361+P353,P305+P351+P338,P333+P313,P370+P378,P501",
141031_msdsbiosolforte_en-ausgabedatum20.10.2017.pdf.pdf,BIOSOL FORTE,Sandoz GmbH,sds.support@novartis.com,Section 2 had no codes.,
141105-Ingredinets-Only-List-Stainless-Steel-Cleaner-F11.pdf.pdf,Astonish Stainless Steel & Shine,The London Oil Refining Company Ltd,info@astonish.co.uk,"P102,P103",19.05.2017
1412_MSDS_GIBRO%2020%20TB_GR_en.pdf.pdf,GIBGRO 20 TB ,GREENFARM Chemicals SA,Katharina.Krueger@at.nufarm.com,"P102,P264,P270,P280,P391,P405,EUH401",
1412071623_sdsesben1.pdf.pdf,Smartblock.,ESB Srl,info@easyandsmartblock.it,"P102,P261,P262,P270,P281,P501",
14135.PDF.pdf,LIMPIA TAPICERIAS SPRAY 520ML,"KRAFFT, S.L. UNIPERSONAL",msds@krafft.es,Section 2 had no codes.,21.10.2009
1415353868_MSDS_Verstatil_BP_EN.pdf.pdf,Verstatil BP,Dr. Straetmans GmbH,labor@dr-straetmans.de,"H302,H318,H319,P280,P301+P312,P305+P351+P338,P330,P337+P313",15.08.2011
1417078954_8104_SDB_Kahlwax_GB.pdf.pdf,Kahlwax 8104,Kahl GmbH & Co. KG,service@kahlwax.de,Section 2 had no codes.,
142ea7b1-6685-470a-995d-916a674521c7.pdf.pdf,N-Nitrosodi-n-propylamine Mix,Phenova,info@phenova.com,"H350,P280,P308+P313,P403+P235,P501",
1437645982Water_Finder_Special-MSDS-GB.pdf.pdf,Water Finder Special,VECOM,msds@vecom.nl,H319,
14384gb_CLP_II_134_ATP4_0000_butaan_vloeibaar_onder_druk.pdf.pdf,"butane, liquefied, under pressure",CHEMOGAS NV,,"H220,H280,P210,P377,P381,P410+P403",02.07.2015
14-40-31-14-12-2018-M13983.pdf.pdf,LORSBAN 15G Granular Insecticide ,DOW AGROSCIENCES LLC ,info@dow.com,Section 2 had no codes.,13.12.2018
1453913334XO1248GO_Gas%20Oil%20Extra_SDS_v3%200.pdf.pdf,Exocet Gas Oil Extra (XO1248GO) ,Fuel Additive Science Technologies Limited,info@fastexocet.co.uk,"H302,H312,H319,H332,H411,P271,P280,P305+P351+P338,P312,P337+P313,P501,EUH044,EUH066",
1461261673Montana_Gold_Safety_Data_Sheet.pdf.pdf,"MONTANA GOLD Spray Paint all colors, fluo and shock",MONTANA CANS,info@montana-cans.de,"H222,H229,H319,H336,P101,P102,P210,P211,P251,P260,P403+P233,P405,P410+P412,P501,EUH066",24.03.2015
1466.pdf.pdf,"XPS? Kart Tec Kart Cleaner 5 ltr, Art.Nr. 25501",Petromark Automotive Chemicals BV,info@petromark.nl,Section 2 not found in PDF.,
147-90.pdf.pdf,REF,MACHEREY-NAGEL GmbH & Co. KG ,msds@mn-net.com,Section 2 had no codes.,
1480437601-MSDS_Spirax_S4_ATF_HDX.pdf.pdf,Shell Spirax S4 ATF HDX ,Shell UK Oil Products Limited,lubricantSDS@shell.com,Section 2 had no codes.,29.01.2016
1487006%20-%20SDS_PREVENS%20PARIS_EN.pdf%20(1487006).pdf,PREVEN'S PARIS LINGETTES ANTISEPTIQUES PARFUM MENTHE (FDSUL193),Laboratoires PRODENE KLINT.,frregulatoryteam@gojo.fr,"H412,P273,P501",
149_TECH_SDS_GB_EN_1.0.pdf.pdf,Tech White Household Ral 9016,Novasol Spray,novasol@novasolspray.com,"H222,H229,H319,H336,P101,P102,P210,P211,P251,P271,P304+P340,P410+P412,EUH066",31.10.2018
1497.pdf.pdf,Crystic 397PA,Scott Bader Co Ltd,SDS@scottbader.com,"H226,H315,H317,H319,H332,H335,H361d,H372,H412,P201,P210,P260,P273,P280,P303+P361+P353,P304+P340,P405,P501",
14997514.pdf.pdf,PONSSE Logger's HYDRAULIC OIL 32 Super,Ponsse Oyj,,Section 2 had no codes.,01.12.2017
15+LINPOL+GREEN+AD+SDS.pdf.pdf,LINPOL GREEN AD,pollet,msds@pollet.eu,"H315,H319,P280,P337+P313",
1501115%2020160126%20Handstands%20Lexol%20Leather%20Cleaner.pdf.pdf,Lexol Leather Cleaner,"American Covers, Inc.",Info@handstands.com,"H319,H319.,P101,P102,P103,P264,P280,P305+P351+P338,P337+P313",26.01.2016
1501163904ADHESION_PROMOTER_MSDS_APP.pdf.pdf,Adhesion Promoter,Gliptone,,EUH208,07.11.2016
1504268215Brother_GTX_Yellow_Ink_Safety_Data_Sheet.pdf.pdf,"GCX-4Y-1, GCX-4Y20-1, GCX-4Y50-1, GCX-4Y70-1",Brother Industries,sds.info@brother.co.jp,"EUH208,EUH210",17.12.2018
1525590982.pdf.pdf,Van Iperen Ammonium Sulphate Horticultural Grade ,Van Iperen International BV ,info@iperen.com,Section 2 had no codes.,24.06.2014
15282.pdf.pdf,FREEZER SPRAY,ELECTROLUBE. A division of HK WENTWORTH LTD,info@hkw.co.uk,"H229,P210,P251,P410+P412",23.12.2015
1540305906-af5f37a06fa2b8b5b7dedd44d0a18386.pdf.pdf,EverSmile WhiteFoam ,"EverSmile, Inc",,Section 2 had no codes.,10.05.2018
1560488f-783a-4341-98ad-11cdf563ff27.pdf,PRO-MST ,FASSA S.r.l. ,laboratorio.spresiano@fassabortolo.it,Section 2 had no codes.,
15643.pdf.pdf,GREASE MOLICAL323 ,LOTOS OIL S.A.,reach@lotosoil.pl,Section 2 had no codes.,
15644.pdf.pdf,Monilit EP 23 grease ,LOTOS OIL S.A.,reach@lotosoil.pl,Section 2 had no codes.,
157d_55_U.pdf.pdf,,,,,
1592_MSDS%207396%20GLACIER%20COOLANT%20RTU%2040.pdf.pdf,GLACIER COOLANT RTU 40,North Sea Lubricants B.V.,support@northsealubricants.com,Section 2 had no codes.,
1599210684-10051.pdf.pdf,Swiss PharMax - Alcohol Sanitizer 80% ,NORDIC TRADE SOLUTIONS AB ,info@swisspharmax.com,"H225,H319,H336,P210,P233,P280,P305+P351+P338,P337+P313,P362+P364,P370+P378,P501",
15AF6A8416C.pdf,DEUREX A 20 G,DEUREX AG,Material-Safety@Deurex.com,Section 2 had no codes.,
15HC146.pdf.pdf,SOLARCLEAR COATING,SUN CHEMICAL,regulatory.affairs@sunchemical.com,Section 2 had no codes.,
16.-SILK-Ingl%C3%A9s-SDS-1.pdf.pdf,16.- SEDA ,PINTURAS AYELENSES,info@pinturaspinay.com,"EUH208,EUH210",13.07.2016
1609.pdf.pdf,3M Scotch-Weld 1609 Silicone Lubricant ,3M United Kingdom PLC,tox.uk@mmm.com,"H222,H229,H304,H315,H412,P102,P210A,P211,P251,P410+P412,P501",
1609_eng_msds.pdf.pdf,3M Scotch-Weld 1609 Silicone Lubricant ,3M United Kingdom PLC,tox.uk@mmm.com,Section 2 had no codes.,
16128556-dasty-degreaser-classic-clp-en.pdf.pdf,DASTY DEGREASER CLASSIC ,Dasty Italy Srl ,,"H315,H319,P101,P102,P103,P264,P280,P302+P352,P305+P351+P338,P332+P313,P337+P313",
1621.pdf.pdf,MICRO FERM ,EM Agriton B.V. ,info@agriton.nl,Section 2 not found in PDF.,
16372972-0110q-original-botija-gas-minisoldador.pdf.pdf,Gas lighter refill,Flameclub Europe B.V. ,info@flameclub.nl,"H222,H229,P102,P210,P211,P251,P410+P412",
165806%20AUTOSOL%20Bluing%20Remover%20SDS%20110514.pdf.pdf,01 D01290 AUTOSOL Bluing Remover,Autosol,msds@autosol.com,"H314,H319,H335,P101,P102,P260,P280,P303+P361+P353,P305+P351+P338,P310,P501",11.05.2014
165-PTC-Test-Paper-SDS.pdf.pdf,"Phenyl Thiourea Paper, Phenylthiocarbamide, PTC Paper",Precision Laboratories,,Section 2 had no codes.,09.01.2018
166293933-fcfcc4-10W40-Motorcycle-safety-sheet.pdf.pdf,Eurol Motorcycle 10W-40,Eurol bv.,r.hilgers@eurol.com,"P102,EUH208,EUH210",03.06.2015
166802___1.pdf.pdf,WS EasyFillPlus,LOBA GmbH & Co. KG,service@loba.de,EUH210,17.02.2015
1692_RevA_MSDS-MSA03-CHCA-Matrix.pdf.pdf,CHCA Matrix ,AUTOBIO DIAGNOSTICS CO.,liudandan@autobio.com.cn,Section 2 had no codes.,
17%20FDS%20LUPEROX%20270.pdf.pdf,"REACH Registration Name: Tert-Butyl 3,5,5-trimethylperoxyhexanoate",ADDITIFS FONCTIONNELS,pars-drp-fds@arkema.com,"H242,H317,H400,H410,P210,P261,P273,P280,P302+P352,P333+P313,P403+P235,P420",
17_Nutrisulfate_SDS_-_EU.pdf.pdf,Nutrisulfate ,Terus Environmental,info@tersusenv.com,Section 2 had no codes.,
1700-Bluewash_GB.pdf.pdf,1700 Bluewash (transparent),"Lietex, Gunther Liebsch GmbH",kontakt@lietex.de,"H290,H318,P280,P280+P305+P351+P338+P310,P305+P351+P338,P310,P501",15.07.2019
1707_1209794.pdf.pdf,Camacid,Amega Sciences plc,admin@amega-sciences.com,"H315,H319,P264,P280,P302+P352,P305+P351+P338,P332+P313,P337+P313",15.10.2010
17100_vegalene_garlic_mist_seasoning_spray-sds.pdf.pdf,Vegalene Garlic Mist (#17100),Par-Way Tryson Company ,,"H204,H223,H317,H335",
171-sds.pdf.pdf,Spinel SD,Saint Gobain Coating Solutions,CeramicMaterials@saint-gobain.com,Section 2 had no codes.,20.07.2015
173125%20J_GBEN.pdf.pdf,Screen Wash ,Ford Motor Company Ltd,sdseu@ford.com,"H226,H373,P210,P260,P280,P314",12.05.2014
173139.pdf.pdf, Modular Water Based Bonding Adhesive WBA 3781, Firestone Building Products Company,firestonemsds@bfdp.com,"H319,H335,P261,P264,P271,P280,P304+P340,P305+P351+P338,P312,P337+P313,P403+P233,P501",19.01.2018
1741-MSDS.pdf.pdf,FORANE 507,Arkema ,pars-drp-fds@arkema.com,"H280,P410+P403",
175_forgrin_gt_beige_085bt4075_-_en_(4).pdf.pdf,FORGRIN GT BEIGE,SO.F.TER. SPA ,michele.pontevivo@softerspa.com,Section 2 had no codes.,
1770243-Reng.middel-til-boldvasker-Safetysheet-English-MSDS-DIR-COM-EN-783.pdf.pdf,Ballenbadballen Reinigingsmiddel,Combi Craft,info@combicraft.nl,"H319,P280,P337+P313",
18078.pdf.pdf,,,,,
18-1056%20-%20Anti-FITC%20HRP_UK%20(REACH).pdf.pdf,Anti-FITC HRP,Pall ForteBio LLC,Linda_Lewis@pall.com,"H317,P261,P272,P280,P302+P352,P333+P313,P501",
181106_SDS_MUFFAWAY_INTONACHINO_eu.pdf.pdf,MUFFAWAY INTONACHINO ,naturalia-bau,info@naturalia-bau.it,"H315,H318,P101,P102,P264,P280,P302+P352,P305+P351+P338,P310,P501",06.07.2015
181114_eco_whole_blood_processing_kit_-_safety_data_sheets.pdf.pdf,Cytodelics Stabiliser,CytodelicsAB,info@cytodelics.com,"H302,H315,H317,H319,H335,H373,P260,P301+P312+P330",13.11.2018
181221_lgch-1052-technical-datasheets_adhesive-ab_uk_rz_0.pdf.pdf,HI-MACS JOINT ADHESIVE KIT ? COMPONENT A,LG Hausys CO.,rukibana@lghausys.com,"H225,H315,H317,H319,H335,H400,H410,P210,P233,P235,P240,P241,P242,P243,P261,P264,P271,P272,P273,P280,P303+P361+P353,P304+P340,P305+P351+P338,P312,P333+P313,P337+P313,P362+P364,P363,P370+P378,P391,P403+P233,P501",
18157_1.pdf.pdf,Magic Marble /,Zart Art Pty Ltd,b.treiber@c-kreul.de.,"H226,H336,P101,P102,P210,P271,P370+P378,P501",
18-2000-Swift-Biosciences-Enzyme-SDS.pdf.pdf,,,,,
1828013.pdf.pdf,NATURE SPRING,SUTTER INDUSTRIES s.p.a. - Societ? con Unico Socio ,regulatory.affairs@sutter.it,"P101,P102",11.06.2014
18724-63742-03186-011849.pdf.pdf,2000 MULTIGRADE 20W50,MOTUL,motul_hse@motul.fr,EUH208,
18krinse.pdf.pdf,COMPOUND ENJ010 ,Metal Finishing Development,,Section 2 not found in PDF.,
190284R09149A.pdf.pdf,R09149A,BP Marine Limited,MSDSadvice@bp.com,Section 2 had no codes.,
1907GL77.pdf.pdf,BPI GL-77,Brain Power Inc,,Section 2 had no codes.,
19533.pdf.pdf,"FOODSAFE BACTERICIDAL CLEANER, SANITISER AND DEGREASER 2 X 5 LITRE",GOMPELS HEALTHCARE L TD,sales@gompels.co.uk,Section 2 had no codes.,08.10.2013
1964.pdf,"APPI - All- purpose surface cleaner - Garden Flowers, Mountain Flowers, Spring Flowers",GOLD DROP Sp. z o.o,aleksandra.gorczycka@golddrop.com.pl,P102,27.11.2012
19645.pdf.pdf,AQUA STOP Tough Deck Finish Oregon Pine 2.5L,LIBERON Ltd,fds.produits@v33.com,Section 2 had no codes.,
1965%20Gap%20filler%20and%20sealant.pdf.pdf,1965 Gap Filler & Sealant White,STELMAX LIMITED,stelmaxltd@aol.com,"H225,H319,H336,P201,P210,P233,P261,P280,P370,P378",
197257_FDS.pdf.pdf,Synchro Tyre repair,Holt Lloyd International Ltd,info@holtsauto.com,"H222,H229,P101,P102,P210,P211,P251,P410+P412,P501",17.12.2018
1a.-Calcium-Hydroxide-Suspension-Kalic-CSDS.pdf.pdf,"Kalic, Kalic35, Kalic HS, Kalic HSD",Buxton Lime & Powders ,buxton.enquiry@tarmac.com,"H315,H318,H335,P102,P261,P280,P302+P352,P304+P340,P305+P351+P338,P310,P501",
1-citri-pro-caps-m2i-bio-en-v1.0-09-03-17.pdf.pdf,Citri Pro Caps ,M2I Biocontrol ,,"H412,P273,P501",03.09.2017
-1-class-a-ceiling-sds.pdf.pdf,,,,,
1da387de6786a0d5382da0d57017a076.pdf.pdf,High purity tellurium of grades T-U,JSC ?Uralelectromed,reach@ugmk.com,Section 2 had no codes.,18.01.2010
2.4.1.3-Boyser-Food-grade-silicone-oil-safety-data-sheet.pdf.pdf,HOSE LUBRICANT ,Bombas Boyser S.L. ,info@boyser.com,Section 2 had no codes.,
2_59_msds-spot-stain-remover.pdf.pdf,SPOT STAIN REMOVER ,LTP,info@ltp-online.co.uk,"H224,H304,H318,H336,P102,P210,P260,P262,P271,P280,P301+P310,P304+P340,P305+P351+P338,P312,EUH066",03.06.2014
2_DISSOLIN-20_SDS_GB_EN_1.1.pdf.pdf,DISSOLIN-20 ,Rey Chemie AG,info@reychemie.ch,"H290,H314,H317,H318,H335,P260,P280,P301+P330+P331,P303+P361+P353,P305+P351+P338,P310",23.03.2020
200_5e34400a77274.pdf.pdf,Tabor DC,Morris Lubricants,sds@morris-lubricants.co.uk,"H304,P301+P310,P331,P405,P501a",22.01.2020
200_Bistro_Copper__Brass_Cleaner_EN_v1.1.pdf.pdf,Bistro Copper & Brass Cleaner ,Sterling Polish Company A/S,hgr@sterlingpolish.dk,Section 2 had no codes.,
2001_esds_us_export_gasolines_-_all_grades_-_eu_english.pdf.pdf,US Export Gasolines - All Grades (Refer to Synonyms for Product Name),Valero Energy Ltd,CorpHSE@valero.com,"H224,H304,H315,H336,H340,H350,H361,H411,P201,P210,P280,P301+P310,P403+P233,P501",05.07.2013
2001308-SDS-ENEU-0.pdf.pdf,Tough 2000 Resin ,United States Germany,sds@formlabs.com,"H315,H317,H319,H335,H411,P261,P264,P271,P272,P273,P280,P302+P352,P304+P340,P305+P351+P338,P312,P332+P313,P333+P313,P337+P313,P362,P363,P391,P403+P233,P405,P501",
2003265.pdf.pdf,WYRITOL ONE SHOT AIR ET SURFACES,PROVEN ORAPI.,FDS@orapi.com,"H222,H229,H319,H336,P101,P102,P210,P211,P251,P260,P271,P304+P340,P305+P351+P338,P312,P410+P412,P501,EUH208",18.12.2015
2008182_arcaltmhe20_r.41_0.pdf.pdf,ARCALHe20,AIR LIQUIDE SINGAPORE PTE LTD,Sg-info@airliquide.com,"H280,P403",08.07.2016
20110704114752.pdf.pdf,ORASOL Black RLI ,BASF SE ,manfred.breth@basf.com,Section 2 had no codes.,18.11.2009
20118.pdf.pdf,AJAX CLEANSING POWDER-REGULAR ,Colgate-Palmolive Co,,"H319,P264,P280,P305+P351+P338,P337+P313",
20134_sdb_enu.pdf.pdf,"35840, 1000000195 Rofill Super 100",ROTHENBERGER Industrial GmbH,info-diy@rothenberger.com,"H222,H229,P101,P102,P103,P210,P211,P251,P410+P412,P501",23.02.2017
2015-Products-Germanium_Dioxide_Solution_TG0_SDS-T2.5.pdf.pdf,Germanium Dioxide Solution TGO,Teck Metals Ltd,,Section 2 had no codes.,
2015-REACH-HSDS-PHOTOActiva-TB.pdf.pdf,PHOTOACTIVA TB ,ACTIVE WALLS SL. ,info@activacolors.com,"P102,P273,P280B",
20160425-Datasheet-Liquidseal-for-citrus-post-harvest-GB.pdf.pdf,LIQUIDSEAL for fruit citrus post harvest ,Liquidseal Fruits,info@liquidseal.nl,Section 2 had no codes.,
20160428165200multi-pro-safety-data-sheet.pdf.pdf,MULTI PRO,Prochem Europe Ltd,sales@prochem.co.uk,"H290,H314,H318,P102,P260,P280,P301+P330+P331,P303+P361+P353,P305+P351+P338,P310",21.01.2016
2016-07-020X-3-301-3013-WALLPASTE.pdf.pdf,HIPPO High Performance Wallpaper Adhesive,TEMBE DIY PRODUCT LIMITED,,"P102,P333+P313",06.06.2017
2016-09-05-140923-2b260f0f5151f8d7b7400d4096c56fc577b8f07a.pdf.pdf,EPOXIGLASS – Componente A,FIXCER PRODUCTS,fixcer@fixcer.com,"H302+H332,H314,H317,P270,P280,P302+P352,P305+P351+P338,P310,P405,P501",31.07.2013
20170127_Safety-data-sheet-Dialysis-concentrate.pdf.pdf,Dialysis concentrate ECOCART,Intermedt Medizin & Technik GmbH,info@Intermedt.de,Section 2 had no codes.,27.01.2017
2017071714411638.pdf.pdf,AMAZE XT ,Akzo Nobel Surface Chemistry AB ,Regulatory.AffairsSE@akzonobel.com,Section 2 had no codes.,28.02.2013
2017072116003496.pdf.pdf,GUARANA DRY EXTRACT 10%,GREENTECH,greentech@greentech.fr,Section 2 had no codes.,21.11.2016
2017-07-26-164255-cff540a05e3738cd142b650466272d6f26f86b4c.pdf.pdf,GROUT S10,FIXCER PRODUCTS,fixcer@fixcer.com,"H315,H317,H318,H335,P261,P280,P305+P351+P338,P310,P321,P403+P233,P501",11.10.2016
2017-10-13-PD-SDS-204505-204510-Cold-Spray-version-2.0.pdf.pdf,POLO MB OISTERWIJK BV,Polo MB Oisterwijk BV,,"H222,H229,P210,P211,P251,P410+P412",
20171127123131_0.pdf.pdf,Vetus Organic Coolant -38,Vetus N.V.,info@vetus.nl,Section 2 had no codes.,18.06.2008
2017-12-12-Disperfin-WD-English-UK-ROI.pdf.pdf,Disperfin WD,Brockhues GmbH & Co.KG,CP_SDS_Management@venatorcorp.com,Section 2 had no codes.,29.06.2016
2017-6-2--10-54-10-540.pdf.pdf,KERAQUICK BIANCO,MAPEI U.K. Ltd - Mapei House Steel Park Road,sicurezza@mapei.it,Section 2 had no codes.,27.11.2012
2018_08_23-sds-eu-_-hyprint-1200.pdf.pdf,HyPrint 1200,"Ergon Refining, Inc",sds@ergon.com,Section 2 had no codes.,23.08.2018
2018_sds_tin_english.pdf.pdf,Tin,Trafigura Ventures V.B.V. ,TrafiguraReach@trafigura.com,Section 2 had no codes.,20.03.2018
201801_SDS-0004%20TotalFill%20RRM%20SDS%20%20REV%20B_EN_0.pdf.pdf,"Repair Root EXPOSURE ? Parameters Control Appropriate Controls Engineering Protections Individual as Such Measures, Protective Personal (PPE) Equipment PHYSICAL ? Appearance Odour Threshold Odour pH / Point Melting Point Freezing Point Boiling Initial Ran",Innovative BioCermamix Inc. ,,"H315,H319,P264,P280,P302+P352,P305+P351+P338,P321,P332+P313,P337+P313,P362+P364",
20180712111036_3136.pdf.pdf,"Vitamin C, Ascorvit, Vicomin C, Acorbate, Ascorbutina, Catavin C",Shandong Luwei Pharmaceutical Co.,,"H302,H319,H335,P264.,P280,P305+P351+P338.,P337+P313",
201810-harmonix-poultry-red-mite.ashx.pdf,Harmonix Poultry Red Mite ,Bayer Environmental Science ,ukinfo@bayercropscience.com,"H226,H319,P210,P280,P501",09.08.2018
2018-10-Safety-Data-Sheet-Cogent.pdf.pdf,COGENT,Intracrop,technical@intracrop.co.uk,"H302,H318,H412,P264,P270,P273,P280,P301+P312,P302+P350,P305+P351+P338,P309+P311,P502",25.10.2018
2018312144330.pdf.pdf,Hardness Reagent T5xxx ,Jensprima Instruments Limited,info@jensprima.com,"H315,H319,H335,P233,P261,P262,P264,P270,P280",28.02.2018
2019_BL_tolprimu.pdf.pdf,TOL-PRIM U,CROMOLOGY SERVICES,support.fds@cromology.com,"H226,P101,P102,P210,P260,P271,P273,P280,P303+P361+P353,P403+P235,P501,EUH208",
20190417023225397.pdf.pdf,NETTOYANT CONDITIONNEUR,ORAPI.,fds@orapi.com,EUH210,17.12.2018
2019-04-18-Niantic-SDS-V5.pdf.pdf,Niantic ,Life Scientific Ltd,,"H315,H317,H318,H411,P102,P261,P264,P280,P305+P351,P308+P311,P332+P313,P338+P310,P391,P501,EUH208,EUH401",
2-0205-250-MSDS_2-0205_BioLock.pdf.pdf,BioLock Biotin blocking solution ,IBA GmbH ,info@iba-lifesciences.com,Section 2 had no codes.,01.11.2015
2020-SDS.pdf.pdf,2020,PPM SpA,,Section 2 had no codes.,
202262-GT85-MSDS.pdf.pdf,GT85 - Aerosol ,Auto4 Ltd,,"H222,H229,H304,H336,P101,P102,P210,P211,P251,P261,P271,P312,P405,P410+P412,P501,EUH066",10.07.2015
202-rasolastik_rdy_eng2.pdf.pdf,RASOLASTIK RDY,Technokolla S.p.A. - Via Radici in piano,info@technokolla.com,Section 2 had no codes.,16.05.2008
204056.pdf.pdf,Greenlife flipchart markers-black colour,Hainenko Limited,sales@hainenko.com,Section 2 had no codes.,
20-4200-05_PE%20Buffer_sds.pdf.pdf,PE Buffer,Severn Biotech Ltd,info@severnbiotech.com,Section 2 had no codes.,23.05.2013
204350500.pdf.pdf,"BIOCHEM - 1,4-BUTANEDIOL ( 1,4-BUTYLENE GLYCOL) - LABORATORY REAGENT",SAS BIOCHEM CHEMOPHARMA FRANCE,admin@biochemopharma.fr,"H302,H336,P261,P264,P271,P304+P340,P312,P330,P403+P233,P501",14.06.2017
2044-en-c.pdf.pdf,UNIVERSAL HARD OIL ,BIOFA Naturprodukte W.Hahn GmbH,a.beuttenmueller@biofa-de.com,"H412,P101,P102,P103,P262,P273,P302+P352,P312,P501,EUH210",
2077821471867.pdf.pdf,AQUA - RESIN ,GEL S.p.A. ,tecnico@gel.it,"H314,H318,P260,P264,P280,P303+P361+P353,P305+P351+P338,P310",
2-086_SDS.pdf.pdf,PEGRx HT,Hampton Research,tech@hrmail.com,Section 2 had no codes.,03.06.2020
20934-Ronseal-Decking-Rescue-Paint-Safety-Data-Sheet.pdf .pdf,RONSEAL DECKING RESCUE PAINT,Sherwin Williams Diversified Brands Limited,sds@ronseal.co.uk,Section 2 had no codes.,
21_SDS_Bijlard_Contact_Tix_10_EN.pdf.pdf,Bijlard Contact Tix ,Bijlard International ,info@bijlard.com,"H225,H315,H319,H336,H412,P210,P261,P280,P302+P352,P305+P351+P338,P501,EUH066,EUH208",
21050000B_MASTIC-M50-BASE_EN.pdf.pdf,MASTIC M50 BASE,MAPAERO- Aerospace Coatings.,sales.mapaero@mapaero.com,"H315,H317,H318,H412,P261,P273,P280,P305+P351+P338,P321,P333+P313,P363,EUH205",27.11.2014
21121-63550MSDSFishglue.pdf.pdf,Fish Glue,Kremer Pigmente GmbH & Co. KG,info@kremer-pigmente.de,Section 2 had no codes.,30.04.2015
